oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
0.06818181818181818,7.0,559.0,0.0,1,426.0,0.5
0.04090909090909091,23.0,1439.0,0.0,1,403.0,0.875
0.013636363636363636,7.0,165.0,0.0,1,165.0,0.75
0.045454545454545456,32.0,452.0,0.0,1,547.0,0.625
0.04318181818181818,79.0,1042.0,0.0,1,948.0,0.875
0.015909090909090907,10.0,1272.0,1.0,1,170.0,0.875
0.05227272727272727,41.0,1696.0,0.0,1,602.0,0.75
0.00909090909090909,5.0,30.0,0.0,1,256.0,0.75
0.02727272727272727,48.0,439.0,0.0,1,766.0,0.875
0.024999999999999998,12.0,176.0,0.0,1,174.0,0.875
0.00909090909090909,3.0,1394.0,0.0,1,134.0,0.625
0.011363636363636364,31.0,977.0,0.0,1,382.0,0.875
0.00909090909090909,5.0,160.0,0.0,1,146.0,0.375
0.1340909090909091,68.0,1027.0,0.0,1,890.0,0.875
0.011363636363636364,7.0,344.0,0.0,1,107.0,1.0
0.022727272727272728,33.0,383.0,0.0,1,421.0,1.0
0.024999999999999998,19.0,423.0,0.0,1,345.0,0.875
0.006818181818181818,30.0,206.0,0.0,1,279.0,0.75
0.0022727272727272726,7.0,103.0,0.0,1,95.0,0.0
0.013636363636363636,20.0,250.0,0.0,1,215.0,0.75
0.0,0.0,0.0,0.0,1,14.0,0.5
0.013636363636363636,19.0,79.0,0.0,1,351.0,0.875
0.011363636363636364,5.0,226.0,0.0,1,311.0,0.875
0.015909090909090907,18.0,604.0,0.0,1,376.0,0.875
0.022727272727272728,13.0,765.0,0.0,1,185.0,0.625
0.08863636363636364,44.0,1248.0,0.0,1,625.0,0.75
0.00909090909090909,10.0,329.0,0.0,1,107.0,0.875
0.09999999999999999,16.0,413.0,0.0,1,336.0,0.875
0.006818181818181818,6.0,208.0,0.0,1,145.0,0.5
0.011363636363636364,35.0,100.0,0.0,1,483.0,0.875
0.09999999999999999,31.0,181.0,0.0,1,634.0,0.875
0.004545454545454545,0.0,881.0,0.0,1,90.0,0.875
0.04318181818181818,8.0,815.0,0.0,1,202.0,0.75
0.031818181818181815,21.0,174.0,0.0,1,338.0,0.875
0.006818181818181818,1.0,4.0,0.0,1,191.0,0.875
0.01818181818181818,12.0,508.0,0.0,1,166.0,0.625
0.013636363636363636,13.0,242.0,0.0,1,275.0,0.75
0.20227272727272727,87.0,583.0,0.0,1,1203.0,1.0
0.00909090909090909,7.0,148.0,0.0,1,266.0,0.75
0.08636363636363636,70.0,1413.0,1.0,1,904.0,0.875
0.00909090909090909,10.0,211.0,0.0,1,223.0,0.875
0.004545454545454545,3.0,697.0,0.0,1,194.0,0.75
0.011363636363636364,7.0,116.0,0.0,1,177.0,0.75
0.004545454545454545,6.0,60.0,0.0,1,70.0,0.75
0.013636363636363636,32.0,112.0,0.0,1,368.0,0.875
0.015909090909090907,15.0,565.0,0.0,1,293.0,1.0
0.01818181818181818,19.0,694.0,0.0,1,523.0,0.0
0.00909090909090909,7.0,89.0,0.0,1,252.0,0.75
0.04772727272727272,12.0,340.0,0.0,1,224.0,0.625
0.0,20.0,155.0,0.0,1,185.0,0.75
0.020454545454545454,59.0,148.0,0.0,1,830.0,0.875
0.015909090909090907,5.0,469.0,0.0,1,195.0,0.0
0.04772727272727272,42.0,637.0,0.0,1,684.0,0.875
0.08863636363636364,37.0,907.0,1.0,1,641.0,0.875
0.01818181818181818,36.0,231.0,0.0,1,538.0,0.75
0.015909090909090907,24.0,84.0,0.0,1,264.0,0.75
0.04318181818181818,14.0,599.0,0.0,1,365.0,0.75
0.020454545454545454,56.0,569.0,0.0,1,926.0,0.875
0.0022727272727272726,0.0,364.0,0.0,1,26.0,0.625
0.004545454545454545,7.0,9.0,0.0,1,230.0,0.75
0.006818181818181818,8.0,51.0,0.0,1,157.0,0.875
0.12272727272727273,73.0,220.0,0.0,1,1172.0,0.875
0.013636363636363636,12.0,199.0,0.0,1,298.0,0.875
0.08181818181818182,57.0,909.0,0.0,1,682.0,0.875
0.015909090909090907,18.0,20.0,0.0,1,517.0,1.0
0.10227272727272727,54.0,1797.0,1.0,1,856.0,0.875
0.10909090909090909,28.0,1038.0,0.0,1,599.0,0.875
0.1431818181818182,77.0,311.0,0.0,1,1143.0,0.0
0.00909090909090909,11.0,146.0,0.0,1,129.0,0.875
0.08181818181818182,37.0,106.0,0.0,1,571.0,0.875
0.10227272727272727,17.0,826.0,0.0,1,508.0,0.875
0.004545454545454545,3.0,603.0,0.0,1,62.0,0.75
0.20909090909090908,70.0,1226.0,0.0,1,1118.0,0.625
0.0,34.0,302.0,0.0,1,306.0,0.0
