,oos,atc,latency,trf_avg,perfect_order,GMV_cur,retention
7317,0.0545454545454545,122.0,1183.0,0.0,1,1908.0,0.875
7318,0.0068181818181818,20.0,28.0,0.0,1,223.0,0.75
7319,0.0113636363636363,29.0,155.0,0.0,1,549.0,0.875
7320,0.0,3.0,13.0,0.0,1,56.0,0.875
7321,0.0159090909090909,10.0,498.0,0.0,1,260.0,0.75
7322,0.0159090909090909,16.0,264.0,0.0,1,203.0,0.625
7323,0.0022727272727272,36.0,51.0,0.0,1,354.0,0.75
7324,0.0727272727272727,47.0,576.0,0.0,1,615.0,0.75
7325,0.0022727272727272,81.0,42.0,0.0,1,722.0,0.75
7326,0.0068181818181818,1.0,550.0,0.0,0,359.0,1.0
7327,0.0136363636363636,16.0,250.0,0.0,1,406.0,0.625
7328,0.0045454545454545,58.0,150.0,0.0,1,551.0,0.625
7329,0.0068181818181818,6.0,703.0,0.0,1,125.0,0.875
7330,0.0318181818181818,24.0,81.0,0.0,1,358.0,0.75
7331,0.0045454545454545,15.0,848.0,0.0,1,175.0,0.875
7332,0.0727272727272727,13.0,521.0,1.0,1,360.0,0.875
7333,0.084090909090909,13.0,1281.0,0.0,1,409.0,0.75
7334,0.0409090909090909,36.0,950.0,0.0,1,422.0,0.75
7335,0.0954545454545454,42.0,388.0,0.0,1,623.0,0.75
7336,0.1022727272727272,57.0,973.0,0.0,1,1061.0,0.875
7337,0.0568181818181818,53.0,930.0,0.0,1,674.0,0.75
7338,0.0022727272727272,5.0,25.0,0.0,1,312.0,0.875
7339,0.0159090909090909,1.0,517.0,0.0,1,284.0,0.75
7340,0.009090909090909,19.0,157.0,0.0,1,433.0,0.875
7341,0.0204545454545454,3.0,442.0,0.0,1,232.0,0.875
7342,0.0045454545454545,19.0,199.0,0.0,1,210.0,0.0
7343,0.0249999999999999,30.0,338.0,0.0,1,551.0,0.75
7344,0.0181818181818181,42.0,414.0,0.0,1,896.0,0.875
7345,0.0045454545454545,1.0,2.0,0.0,1,123.0,0.875
7346,0.0136363636363636,17.0,1779.0,0.0,1,287.0,0.875
7347,0.0363636363636363,56.0,193.0,0.0,1,1472.0,0.75
7348,0.0022727272727272,1.0,17.0,0.0,1,44.0,1.0
7349,0.009090909090909,2.0,166.0,0.0,1,135.0,0.0
7350,0.009090909090909,15.0,190.0,0.0,1,305.0,0.875
7351,0.0068181818181818,1.0,350.0,0.0,1,63.0,0.0
7352,0.0068181818181818,11.0,82.0,0.0,1,279.0,0.875
7353,0.009090909090909,37.0,77.0,0.0,1,412.0,1.0
7354,0.009090909090909,14.0,47.0,0.0,1,245.0,1.0
7355,0.0159090909090909,18.0,110.0,0.0,1,328.0,0.75
7356,0.0136363636363636,29.0,170.0,0.0,1,541.0,0.875
7357,0.0,0.0,2320.0,0.0,1,22.0,0.875
7358,0.0,0.0,1.0,0.0,1,75.0,0.875
7359,0.009090909090909,8.0,66.0,0.0,1,191.0,0.25
7360,0.059090909090909,29.0,667.0,0.0,1,631.0,0.75
7361,0.0136363636363636,19.0,268.0,0.0,1,370.0,0.75
7362,0.0,0.0,10.0,0.0,0,201.0,1.0
7363,0.0931818181818181,73.0,1100.0,0.0,1,869.0,0.875
7364,0.0045454545454545,7.0,494.0,0.0,1,98.0,0.875
7365,0.009090909090909,28.0,83.0,0.0,1,303.0,0.875
7366,0.0295454545454545,31.0,491.0,0.0,1,345.0,0.75
7367,0.1386363636363636,28.0,404.0,1.0,1,667.0,0.375
7368,0.0022727272727272,11.0,13.0,0.0,1,196.0,1.0
7369,0.1113636363636363,16.0,692.0,0.0,1,359.0,0.875
7370,0.075,10.0,823.0,0.0,1,359.0,0.875
