Target,beta0,oos,trf_avg,atc,latency,perfect_order,Version
retention,-0.067047488,0.041590138,1.52e-05,0.00062086,-0.006411038,-0.00307575,1
retention,-0.067047488,0.041590138,1.52e-05,0.00062086,-0.006411038,-0.00307575,2
retention,-0.067047488,0.041590138,1.52e-05,0.00062086,-0.006411038,-0.00307575,3
retention,-0.067047488,0.041590138,1.52e-05,0.00062086,-0.006411038,-0.00307575,4
retention,-0.067047488,0.041590138,1.52e-05,0.00062086,-0.006411038,-0.00307575,5
retention,-0.0670474884386748,0.0415901381017958,1.5202245679612036e-05,0.0006208603646889,-0.0064110382540952,-0.0030757503865071,6
retention,-0.2141214643672704,0.0557523110653306,-0.0115592255740745,0.2067668226325792,-0.0008602778039737,-0.0033015477588729,7
retention,-0.2141214643672704,0.0557523110653306,-0.0115592255740745,0.2067668226325792,-0.0008602778039737,-0.0033015477588729,8
retention,0.1785173020087692,0.8197830268762086,0.1260904511878157,0.0037751929939843,1.6090959930246003e-06,0.8616016583880506,9
retention,0.1785173020087692,0.8197830268762086,0.1260904511878157,0.0037751929939843,1.6090959930246003e-06,0.8616016583880506,10
retention,0.1785173020087692,0.8197830268762086,0.1260904511878157,0.0037751929939843,1.6090959930246003e-06,0.8616016583880506,11
retention,0.1785173020087692,0.8197830268762086,0.1260904511878157,0.0037751929939843,1.6090959930246003e-06,0.8616016583880506,12
retention,0.17851730200876925,0.8197830268762086,0.12609045118781573,0.0037751929939843667,1.6090959930246003e-06,0.8616016583880506,13
